,particle,turning_point,v_e (px/frame),v_g (px/frame),v_e (m/s),v_g (m/s),radius,charge,plate err,voltage err,v_e prop,v_g prop,v_e err,v_g err,ep,charge err,quantization
15,943.0,251,0.4866862497088607,-0.2550626454741036,6.721444103804208e-05,3.5225760241802124e-05,5.856757038476528e-07,1.4630131725661866e-19,1.655816268707015e-23,1.6255701917402076e-23,2.2116795326571887e-22,4.2407234773534354e-21,3.223604885631652e-06,1.6894276149866844e-06,0.04573040085117076,4.2407869590410944e-21,0.9131410015424996
16,1014.0,247,3.1097598714666663,-0.12982909782186236,0.0004294774542083391,1.7930217354178292e-05,4.178494143830494e-07,4.2360398826227804e-19,4.7942861240514476e-23,4.706710980691979e-23,1.1654258690380699e-21,8.735020745344354e-21,1.0960727164998578e-05,4.5759845715424966e-07,0.021034089304258236,8.73527911702687e-21,2.6439281433176194
17,1025.0,247,0.9758649643703704,-0.16834475594331982,0.00013477310720818808,2.3249472692488616e-05,4.7581001001408135e-07,1.7569253223921763e-19,1.9884616121518025e-23,1.9521392471024187e-23,2.344142589294956e-22,2.6907128051319276e-21,3.30751993172775e-06,5.705744708681334e-07,0.019834000234365053,2.6908570906726416e-21,1.096586537023809
18,1034.0,248,0.7678616466972112,-0.17398616270564518,0.00010604653697978505,2.4028586551622215e-05,4.837167576359166e-07,1.4756350406929653e-19,1.6701015089069625e-23,1.639594489658851e-23,2.285174882125732e-22,3.0333642940308714e-21,3.514774489256123e-06,7.963962372540617e-07,0.029826369522506124,3.0334545803778676e-21,0.9210189520071613
19,1113.0,248,0.850108475382353,-0.13507829184274195,0.00011740534282344799,1.8655164159691523e-05,4.2621286867425393e-07,1.3204736723430626e-19,1.494492209683795e-23,1.4671929692700698e-23,1.3793476290098788e-22,1.718266877143119e-21,2.3415612342134895e-06,3.7206321419214325e-07,0.013743382337519202,1.7183945057246183e-21,0.8241748429092133
20,1123.0,251,1.1879818713255814,-0.10288673087250996,0.00016406779006442602,1.4209306529543646e-05,3.7197475149923724e-07,1.4574367970369027e-19,1.6495050108899633e-23,1.6193742189298922e-23,2.55396129014058e-22,2.827254214011879e-21,4.3101725927655945e-06,3.732881605938299e-07,0.02193755294194092,2.827348707643278e-21,0.9096605016869475
21,1214.0,249,0.6887745673821137,-0.16755731775502009,9.512411245541123e-05,2.3140722511627254e-05,4.746958970978908e-07,1.311122522942196e-19,1.483908719665106e-23,1.456802803269107e-23,2.164858355927462e-22,3.067987826094672e-21,3.564970348759545e-06,8.672458273026525e-07,0.034577972948968576,3.0680582991551358e-21,0.8183383145104269
22,1252.0,248,1.163432940257143,-0.1390576090685484,0.00016067742783242627,1.920473296958832e-05,4.324452759326908e-07,1.7775895079020638e-19,2.0118490260100356e-23,1.975099453224516e-23,1.9221535678043455e-22,2.0327457411969168e-21,2.7831377014135676e-06,3.3265043568524674e-07,0.009546416347354066,2.0329412445492766e-21,1.1094841071936394
23,1254.0,247,0.40161130387301586,-0.2661012548623482,5.5465054376473707e-05,3.675026182842387e-05,5.982149186355748e-07,1.3504810446266428e-19,1.5284541015792368e-23,1.5005344940296035e-23,2.6944867675193004e-22,5.973610821845109e-21,4.071693024303833e-06,2.697838962033057e-06,0.0719732213884739,5.97364922207823e-21,0.8429039715968413
24,1341.0,249,1.4539562620000004,-0.13614794779518072,0.00020080053114825412,1.880289039397325e-05,4.278970850496538e-07,2.141756355159234e-19,2.4240075776343453e-23,2.379729283510261e-23,8.576070499805646e-22,8.215407961230388e-21,1.1321623189279522e-05,1.0601527729661072e-06,0.05449850167467917,8.215478188265584e-21,1.3367791759384446
25,1343.0,252,0.6325642338866397,-0.20587616686904764,8.736111083224984e-05,2.8432797284566013e-05,5.261830028527755e-07,1.4548182572657273e-19,1.6465413870247296e-23,1.6164647302952533e-23,1.130512535754426e-22,1.7357231591520967e-21,1.7069541049350148e-06,5.555501707489586e-07,0.013148477555428882,1.7358765194832497e-21,0.9080261377085044
26,1413.0,248,0.7719373040239044,-0.16587720150403223,0.00010660941096531505,2.290868785941213e-05,4.7230998624901347e-07,1.427043652938544e-19,1.6151065082661312e-23,1.585604058820605e-23,3.546514354690169e-22,4.678613311092393e-21,5.593856395669204e-06,1.2020318744698285e-06,0.05044073846505746,4.678668056793233e-21,0.8906905931704571
27,1424.0,254,1.3439318732418033,-0.2259046271417323,0.0001856054690412841,3.119885398513324e-05,5.511836691422675e-07,2.8801389283435664e-19,3.2596978503772954e-23,3.2001543648261854e-23,5.324810898979979e-22,5.073583253190038e-21,5.524180759768304e-06,9.285723626665251e-07,0.026018173937356105,5.073788888873271e-21,1.7976413301844045
28,1514.0,246,1.528639109743083,-0.16621851061382115,0.0002111147035112156,2.2955824800407233e-05,4.727956493222525e-07,2.582263160883689e-19,2.9225665442055874e-23,2.869181289870766e-23,8.415131103987432e-22,7.61702770716834e-21,9.744017759219241e-06,1.059528118186284e-06,0.04383377361422096,7.617137812290003e-21,1.6117218991539586
29,1524.0,252,0.8358481841132074,-0.12667340367063493,0.00011543590664712562,1.7494396086187556e-05,4.1273994148221636e-07,1.239351328214191e-19,1.4026791626907696e-23,1.3770570313491015e-23,1.643925376501294e-22,2.0730182775143493e-21,2.9144808955150507e-06,4.416917114674605e-07,0.020701435147235856,2.0731114679145122e-21,0.7735422580806157
30,1544.0,249,0.7767576362972972,-0.38544913614859433,0.00010727512925829651,5.323295706488964e-05,7.1997483435006e-07,2.9193783827364823e-19,3.3041084737245956e-23,3.243753758596092e-23,5.418017524004459e-22,8.094920135402996e-21,5.114850249221083e-06,2.5381335412286937e-06,0.04543638552855441,8.095052557314134e-21,1.8221326713125772
